"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"04","Arizona","04001","Apache","2020","206","",
"04","Arizona","04001","Apache","2021","172","",
"04","Arizona","04001","Apache","2022","208","",
"04","Arizona","04003","Cochise","2020","291","",
"04","Arizona","04003","Cochise","2021","391","",
"04","Arizona","04003","Cochise","2022","507","",
"04","Arizona","04005","Coconino","2020","179","",
"04","Arizona","04005","Coconino","2021","163","",
"04","Arizona","04005","Coconino","2022","208","",
"04","Arizona","04007","Gila","2020","176","",
"04","Arizona","04007","Gila","2021","186","",
"04","Arizona","04007","Gila","2022","205","",
"04","Arizona","04009","Graham","2020","89","",
"04","Arizona","04009","Graham","2021","121","",
"04","Arizona","04009","Graham","2022","151","",
"04","Arizona","04011","Greenlee","2020","10","",
"04","Arizona","04011","Greenlee","2021","6","",
"04","Arizona","04011","Greenlee","2022","14","",
"04","Arizona","04012","La Paz","2020","50","",
"04","Arizona","04012","La Paz","2021","48","",
"04","Arizona","04012","La Paz","2022","60","",
"04","Arizona","04013","Maricopa","2020","10,182","",
"04","Arizona","04013","Maricopa","2021","11,669","",
"04","Arizona","04013","Maricopa","2022","13,756","",
"04","Arizona","04015","Mohave","2020","598","",
"04","Arizona","04015","Mohave","2021","553","",
"04","Arizona","04015","Mohave","2022","584","",
"04","Arizona","04017","Navajo","2020","209","",
"04","Arizona","04017","Navajo","2021","236","",
"04","Arizona","04017","Navajo","2022","250","",
"04","Arizona","04019","Pima","2020","2,093","",
"04","Arizona","04019","Pima","2021","2,201","",
"04","Arizona","04019","Pima","2022","2,813","",
"04","Arizona","04021","Pinal","2020","927","",
"04","Arizona","04021","Pinal","2021","983","",
"04","Arizona","04021","Pinal","2022","1,121","",
"04","Arizona","04023","Santa Cruz","2020","71","",
"04","Arizona","04023","Santa Cruz","2021","108","",
"04","Arizona","04023","Santa Cruz","2022","98","",
"04","Arizona","04025","Yavapai","2020","383","",
"04","Arizona","04025","Yavapai","2021","359","",
"04","Arizona","04025","Yavapai","2022","477","",
"04","Arizona","04027","Yuma","2020","405","",
"04","Arizona","04027","Yuma","2021","377","",
"04","Arizona","04027","Yuma","2022","407","",
"06","California","06001","Alameda","2020","4,267","",
"06","California","06003","Alpine","2020","0","",
"06","California","06005","Amador","2020","103","",
"06","California","06007","Butte","2020","472","",
"06","California","06009","Calaveras","2020","111","",
"06","California","06011","Colusa","2020","49","",
"06","California","06013","Contra Costa","2020","3,032","",
"06","California","06015","Del Norte","2020","104","",
"06","California","06017","El Dorado","2020","351","",
"06","California","06019","Fresno","2020","3,495","",
"06","California","06021","Glenn","2020","55","",
"06","California","06023","Humboldt","2020","441","",
"06","California","06025","Imperial","2020","473","",
"06","California","06027","Inyo","2020","46","",
"06","California","06029","Kern","2020","2,526","",
"06","California","06031","Kings","2020","427","",
"06","California","06033","Lake","2020","267","",
"06","California","06035","Lassen","2020","90","",
"06","California","06037","Los Angeles","2020","25,846","",
"06","California","06039","Madera","2020","473","",
"06","California","06041","Marin","2020","280","",
"06","California","06043","Mariposa","2020","31","",
"06","California","06045","Mendocino","2020","314","",
"06","California","06047","Merced","2020","1,033","",
"06","California","06049","Modoc","2020","42","",
"06","California","06051","Mono","2020","35","",
"06","California","06053","Monterey","2020","915","",
"06","California","06055","Napa","2020","322","",
"06","California","06057","Nevada","2020","174","",
"06","California","06059","Orange","2020","4,858","",
"06","California","06061","Placer","2020","621","",
"06","California","06063","Plumas","2020","56","",
"06","California","06065","Riverside","2020","5,865","",
"06","California","06067","Sacramento","2020","5,479","",
"06","California","06069","San Benito","2020","219","",
"06","California","06071","San Bernardino","2020","6,742","",
"06","California","06073","San Diego","2020","5,736","",
"06","California","06075","San Francisco","2020","1,431","",
"06","California","06077","San Joaquin","2020","2,940","",
"06","California","06079","San Luis Obispo","2020","432","",
"06","California","06081","San Mateo","2020","1,078","",
"06","California","06083","Santa Barbara","2020","677","",
"06","California","06085","Santa Clara","2020","2,804","",
"06","California","06087","Santa Cruz","2020","457","",
"06","California","06089","Shasta","2020","399","",
"06","California","06091","Sierra","2020","Suppressed","",
"06","California","06093","Siskiyou","2020","86","",
"06","California","06095","Solano","2020","1,766","",
"06","California","06097","Sonoma","2020","884","",
"06","California","06099","Stanislaus","2020","1,798","",
"06","California","06101","Sutter","2020","183","",
"06","California","06103","Tehama","2020","173","",
"06","California","06105","Trinity","2020","Suppressed","",
"06","California","06107","Tulare","2020","1,134","",
"06","California","06109","Tuolumne","2020","130","",
"06","California","06111","Ventura","2020","1,391","",
"06","California","06113","Yolo","2020","454","",
"06","California","06115","Yuba","2020","191","",
"08","Colorado","08001","Adams","2020","1,580","",
"08","Colorado","08001","Adams","2021","1,748","",
"08","Colorado","08003","Alamosa","2020","47","",
"08","Colorado","08003","Alamosa","2021","45","",
"08","Colorado","08005","Arapahoe","2020","1,516","",
"08","Colorado","08005","Arapahoe","2021","1,610","",
"08","Colorado","08007","Archuleta","2020","15","",
"08","Colorado","08007","Archuleta","2021","8","",
"08","Colorado","08009","Baca","2020","Suppressed","",
"08","Colorado","08009","Baca","2021","Suppressed","",
"08","Colorado","08011","Bent","2020","17","",
"08","Colorado","08011","Bent","2021","19","",
"08","Colorado","08013","Boulder","2020","331","",
"08","Colorado","08013","Boulder","2021","333","",
"08","Colorado","08014","Broomfield","2020","95","",
"08","Colorado","08014","Broomfield","2021","85","",
"08","Colorado","08015","Chaffee","2020","31","",
"08","Colorado","08015","Chaffee","2021","24","",
"08","Colorado","08017","Cheyenne","2020","Suppressed","",
"08","Colorado","08017","Cheyenne","2021","0","",
"08","Colorado","08019","Clear Creek","2020","10","",
"08","Colorado","08019","Clear Creek","2021","Suppressed","",
"08","Colorado","08021","Conejos","2020","16","",
"08","Colorado","08021","Conejos","2021","8","",
"08","Colorado","08023","Costilla","2020","Suppressed","",
"08","Colorado","08023","Costilla","2021","Suppressed","",
"08","Colorado","08025","Crowley","2020","13","",
"08","Colorado","08025","Crowley","2021","12","",
"08","Colorado","08027","Custer","2020","7","",
"08","Colorado","08027","Custer","2021","6","",
"08","Colorado","08029","Delta","2020","37","",
"08","Colorado","08029","Delta","2021","55","",
"08","Colorado","08031","Denver","2020","1,690","",
"08","Colorado","08031","Denver","2021","1,897","",
"08","Colorado","08033","Dolores","2020","0","",
"08","Colorado","08033","Dolores","2021","0","",
"08","Colorado","08035","Douglas","2020","330","",
"08","Colorado","08035","Douglas","2021","407","",
"08","Colorado","08037","Eagle","2020","36","",
"08","Colorado","08037","Eagle","2021","16","",
"08","Colorado","08041","El Paso","2020","1,249","",
"08","Colorado","08041","El Paso","2021","1,365","",
"08","Colorado","08039","Elbert","2020","27","",
"08","Colorado","08039","Elbert","2021","19","",
"08","Colorado","08043","Fremont","2020","71","",
"08","Colorado","08043","Fremont","2021","100","",
"08","Colorado","08045","Garfield","2020","78","",
"08","Colorado","08045","Garfield","2021","85","",
"08","Colorado","08047","Gilpin","2020","10","",
"08","Colorado","08047","Gilpin","2021","Suppressed","",
"08","Colorado","08049","Grand","2020","26","",
"08","Colorado","08049","Grand","2021","Suppressed","",
"08","Colorado","08051","Gunnison","2020","10","",
"08","Colorado","08051","Gunnison","2021","13","",
"08","Colorado","08053","Hinsdale","2020","0","",
"08","Colorado","08053","Hinsdale","2021","0","",
"08","Colorado","08055","Huerfano","2020","Suppressed","",
"08","Colorado","08055","Huerfano","2021","Suppressed","",
"08","Colorado","08057","Jackson","2020","0","",
"08","Colorado","08057","Jackson","2021","0","",
"08","Colorado","08059","Jefferson","2020","984","",
"08","Colorado","08059","Jefferson","2021","893","",
"08","Colorado","08061","Kiowa","2020","Suppressed","",
"08","Colorado","08061","Kiowa","2021","Suppressed","",
"08","Colorado","08063","Kit Carson","2020","17","",
"08","Colorado","08063","Kit Carson","2021","39","",
"08","Colorado","08067","La Plata","2020","58","",
"08","Colorado","08067","La Plata","2021","53","",
"08","Colorado","08065","Lake","2020","Suppressed","",
"08","Colorado","08065","Lake","2021","Suppressed","",
"08","Colorado","08069","Larimer","2020","548","",
"08","Colorado","08069","Larimer","2021","456","",
"08","Colorado","08071","Las Animas","2020","76","",
"08","Colorado","08071","Las Animas","2021","60","",
"08","Colorado","08073","Lincoln","2020","10","",
"08","Colorado","08073","Lincoln","2021","11","",
"08","Colorado","08075","Logan","2020","77","",
"08","Colorado","08075","Logan","2021","82","",
"08","Colorado","08077","Mesa","2020","281","",
"08","Colorado","08077","Mesa","2021","264","",
"08","Colorado","08079","Mineral","2020","Suppressed","",
"08","Colorado","08079","Mineral","2021","0","",
"08","Colorado","08081","Moffat","2020","Suppressed","",
"08","Colorado","08081","Moffat","2021","21","",
"08","Colorado","08083","Montezuma","2020","44","",
"08","Colorado","08083","Montezuma","2021","9","",
"08","Colorado","08085","Montrose","2020","67","",
"08","Colorado","08085","Montrose","2021","84","",
"08","Colorado","08087","Morgan","2020","95","",
"08","Colorado","08087","Morgan","2021","34","",
"08","Colorado","08089","Otero","2020","83","",
"08","Colorado","08089","Otero","2021","70","",
"08","Colorado","08091","Ouray","2020","0","",
"08","Colorado","08091","Ouray","2021","Suppressed","",
"08","Colorado","08093","Park","2020","16","",
"08","Colorado","08093","Park","2021","13","",
"08","Colorado","08095","Phillips","2020","9","",
"08","Colorado","08095","Phillips","2021","12","",
"08","Colorado","08097","Pitkin","2020","13","",
"08","Colorado","08097","Pitkin","2021","6","",
"08","Colorado","08099","Prowers","2020","39","",
"08","Colorado","08099","Prowers","2021","25","",
"08","Colorado","08101","Pueblo","2020","608","",
"08","Colorado","08101","Pueblo","2021","626","",
"08","Colorado","08103","Rio Blanco","2020","14","",
"08","Colorado","08103","Rio Blanco","2021","Suppressed","",
"08","Colorado","08105","Rio Grande","2020","21","",
"08","Colorado","08105","Rio Grande","2021","25","",
"08","Colorado","08107","Routt","2020","13","",
"08","Colorado","08107","Routt","2021","11","",
"08","Colorado","08109","Saguache","2020","11","",
"08","Colorado","08109","Saguache","2021","Suppressed","",
"08","Colorado","08111","San Juan","2020","0","",
"08","Colorado","08111","San Juan","2021","0","",
"08","Colorado","08113","San Miguel","2020","Suppressed","",
"08","Colorado","08113","San Miguel","2021","0","",
"08","Colorado","08115","Sedgwick","2020","8","",
"08","Colorado","08115","Sedgwick","2021","10","",
"08","Colorado","08117","Summit","2020","44","",
"08","Colorado","08117","Summit","2021","7","",
"08","Colorado","08119","Teller","2020","36","",
"08","Colorado","08119","Teller","2021","34","",
"08","Colorado","08121","Washington","2020","Suppressed","",
"08","Colorado","08121","Washington","2021","8","",
"08","Colorado","08123","Weld","2020","622","",
"08","Colorado","08123","Weld","2021","690","",
"08","Colorado","08125","Yuma","2020","10","",
"08","Colorado","08125","Yuma","2021","23","",
"12","Florida","12001","Alachua","2020","912","",
"12","Florida","12001","Alachua","2021","1,135","",
"12","Florida","12001","Alachua","2022","1,283","",
"12","Florida","12003","Baker","2020","109","",
"12","Florida","12003","Baker","2021","122","",
"12","Florida","12003","Baker","2022","110","",
"12","Florida","12005","Bay","2020","500","",
"12","Florida","12005","Bay","2021","702","",
"12","Florida","12005","Bay","2022","687","",
"12","Florida","12007","Bradford","2020","119","",
"12","Florida","12007","Bradford","2021","137","",
"12","Florida","12007","Bradford","2022","133","",
"12","Florida","12009","Brevard","2020","1,408","",
"12","Florida","12009","Brevard","2021","1,400","",
"12","Florida","12009","Brevard","2022","1,418","",
"12","Florida","12011","Broward","2020","6,520","",
"12","Florida","12011","Broward","2021","7,526","",
"12","Florida","12011","Broward","2022","9,245","",
"12","Florida","12013","Calhoun","2020","34","",
"12","Florida","12013","Calhoun","2021","42","",
"12","Florida","12013","Calhoun","2022","44","",
"12","Florida","12015","Charlotte","2020","400","",
"12","Florida","12015","Charlotte","2021","360","",
"12","Florida","12015","Charlotte","2022","409","",
"12","Florida","12017","Citrus","2020","352","",
"12","Florida","12017","Citrus","2021","408","",
"12","Florida","12017","Citrus","2022","388","",
"12","Florida","12019","Clay","2020","787","",
"12","Florida","12019","Clay","2021","897","",
"12","Florida","12019","Clay","2022","840","",
"12","Florida","12021","Collier","2020","653","",
"12","Florida","12021","Collier","2021","833","",
"12","Florida","12021","Collier","2022","808","",
"12","Florida","12023","Columbia","2020","341","",
"12","Florida","12023","Columbia","2021","382","",
"12","Florida","12023","Columbia","2022","396","",
"12","Florida","12027","DeSoto","2020","91","",
"12","Florida","12027","DeSoto","2021","138","",
"12","Florida","12027","DeSoto","2022","142","",
"12","Florida","12029","Dixie","2020","31","",
"12","Florida","12029","Dixie","2021","40","",
"12","Florida","12029","Dixie","2022","32","",
"12","Florida","12031","Duval","2020","5,441","",
"12","Florida","12031","Duval","2021","6,361","",
"12","Florida","12031","Duval","2022","6,516","",
"12","Florida","12033","Escambia","2020","1,491","",
"12","Florida","12033","Escambia","2021","1,773","",
"12","Florida","12033","Escambia","2022","1,955","",
"12","Florida","12035","Flagler","2020","298","",
"12","Florida","12035","Flagler","2021","294","",
"12","Florida","12035","Flagler","2022","285","",
"12","Florida","12037","Franklin","2020","32","",
"12","Florida","12037","Franklin","2021","35","",
"12","Florida","12037","Franklin","2022","31","",
"12","Florida","12039","Gadsden","2020","330","",
"12","Florida","12039","Gadsden","2021","397","",
"12","Florida","12039","Gadsden","2022","374","",
"12","Florida","12041","Gilchrist","2020","46","",
"12","Florida","12041","Gilchrist","2021","52","",
"12","Florida","12041","Gilchrist","2022","40","",
"12","Florida","12043","Glades","2020","9","",
"12","Florida","12043","Glades","2021","20","",
"12","Florida","12043","Glades","2022","23","",
"12","Florida","12045","Gulf","2020","43","",
"12","Florida","12045","Gulf","2021","42","",
"12","Florida","12045","Gulf","2022","73","",
"12","Florida","12047","Hamilton","2020","62","",
"12","Florida","12047","Hamilton","2021","52","",
"12","Florida","12047","Hamilton","2022","51","",
"12","Florida","12049","Hardee","2020","98","",
"12","Florida","12049","Hardee","2021","120","",
"12","Florida","12049","Hardee","2022","98","",
"12","Florida","12051","Hendry","2020","136","",
"12","Florida","12051","Hendry","2021","162","",
"12","Florida","12051","Hendry","2022","221","",
"12","Florida","12053","Hernando","2020","530","",
"12","Florida","12053","Hernando","2021","527","",
"12","Florida","12053","Hernando","2022","587","",
"12","Florida","12055","Highlands","2020","422","",
"12","Florida","12055","Highlands","2021","453","",
"12","Florida","12055","Highlands","2022","417","",
"12","Florida","12057","Hillsborough","2020","5,311","",
"12","Florida","12057","Hillsborough","2021","6,294","",
"12","Florida","12057","Hillsborough","2022","7,097","",
"12","Florida","12059","Holmes","2020","56","",
"12","Florida","12059","Holmes","2021","60","",
"12","Florida","12059","Holmes","2022","60","",
"12","Florida","12061","Indian River","2020","464","",
"12","Florida","12061","Indian River","2021","514","",
"12","Florida","12061","Indian River","2022","516","",
"12","Florida","12063","Jackson","2020","170","",
"12","Florida","12063","Jackson","2021","203","",
"12","Florida","12063","Jackson","2022","177","",
"12","Florida","12065","Jefferson","2020","52","",
"12","Florida","12065","Jefferson","2021","71","",
"12","Florida","12065","Jefferson","2022","51","",
"12","Florida","12067","Lafayette","2020","16","",
"12","Florida","12067","Lafayette","2021","17","",
"12","Florida","12067","Lafayette","2022","14","",
